Accepted Symbol,Scientific Name,Common Name,Active Growth Period,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Lifespan,Nitrogen Fixation,Shape and Orientation,Anaerobic Tolerance,Drought Tolerance,Moisture Use,pH (Minimum),pH (Maximum),"Planting Density per Acre, Minimum","Planting Density per Acre, Maximum",Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End,Berry/Nut/Seed Product,Palatable Human,Protein Potential
SYLAP,Symphyotrichum laeve var. purpuratum,smooth blue aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLA6,Symphyotrichum lanceolatum,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAH,Symphyotrichum lanceolatum ssp. hesperium,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAH6,Symphyotrichum lanceolatum ssp. hesperium var. hesperium,white panicle aster,Summer and Fall,Moderate,,6,Long,None,Erect,Medium,Low,High,5.8,7.4,1200,1700,12,32,12,None,Intermediate,-38,Late Summer,Fall,Fall,No,No,
SYLAL6,Symphyotrichum lanceolatum ssp. lanceolatum,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAH7,Symphyotrichum lanceolatum ssp. lanceolatum var. hirsuticaule,white panicle aster,Spring and Summer,Slow,,6,Long,None,Semi-Erect,Low,Low,Low,6,8.2,1200,1700,8,16,8,None,Intermediate,-28,Late Summer,Summer,Fall,No,No,Low
SYLAI3,Symphyotrichum lanceolatum ssp. lanceolatum var. interior,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAL4,Symphyotrichum lanceolatum ssp. lanceolatum var. lanceolatum,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAL5,Symphyotrichum lanceolatum ssp. lanceolatum var. latifolium,white panicle aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLA4,Symphyotrichum lateriflorum,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAA,Symphyotrichum lateriflorum var. angustifolium,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAF,Symphyotrichum lateriflorum var. flagellare,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAH5,Symphyotrichum lateriflorum var. horizontale,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAL7,Symphyotrichum lateriflorum var. lateriflorum,calico aster,"Spring, Summer, Fall",Moderate,,5,Short,None,Semi-Erect,Low,Low,Medium,5.2,7.2,2700,11000,26,60,10,None,Intolerant,-38,Summer,Fall,Winter,No,No,
SYLAS,Symphyotrichum lateriflorum var. spatelliforme,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLAT,Symphyotrichum lateriflorum var. tenuipes,calico aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLA9,Symphyotrichum laurentianum,Gulf of St. Lawrence aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLE2,Symphyotrichum lentum,Suisun Marsh aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLO4,Symphyotrichum ×longulum,aster,,,,,,,,,,,,,,,,,,,,,,,,,,
SYLO2,Symphyotrichum lowrieanum,Lowrie's blue wood aster,,,,,,,,,,,,,,,,,,,,,,,,,,
